"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","05d2ea5af5c3",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260210230838/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","10 Feb 2026 23:12:28 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1770765148.830,7.591,3.039,88.389,0.981,0,1833.319,0,758.919,0,15039.941,0,13702.457,0,175.941,0,1391312.885,5405894.014,1572674.645,5239088.494,607.245,2.206,707789.493,10071828.868,261265.000,1898916.560,587561.241,4520410.501,154.431,0,0,0,0,0,2636816384,799223808,4580777984,4949184512,904.420,3381.050,4,3,7.829,3.460,2.850,2.110,0.060,0.994,3.460,2.850,2.110,2636816384,799223808,4580777984,4949184512,2,3,7.829,0.021,0,0.005,0,0.051,0,0.045,0,0.003,0,4.709,8.885,6.116,6.606,0.004,0.000,0.328,2.278,0.095,0.309,1.298,3.273,0.005,0,0,2304,103565,0,0,0,0,0,0,0,68,1,1,0,0,1,0,0,532,0,0,1,0,0,64,0,64,0.873,1928.352,3951.014,4044.661,0.001,0.000,0.004,0.000,0.000,1.392,1.485,0.000,0.389,0.059,0.239,0.001
1770765149.830,75.879,24.121,0,0,0,0,0,0,0,0,0,0,0,0,0,11239424,5767168,6291456,4161536,0,0,0,0,0,196608,1048576,3407872,0,0,672,0,0,0,2654085120,775421952,4587261952,4931952640,6897,23282,3,2,107,3.580,2.890,2.120,0,0,3.580,2.890,2.120,2654085120,775421952,4587261952,4931952640,3,3,107,0,0,0,0,0,0,0,0,0,0,29,61,14,38,0,0,0,0,0,6,1,2,0,0,0,2304,103657,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,9,14846,38073,40173,0,0,0,0,0,11.100,12.500,0,0,0,0.100,0
1770765150.830,81.500,18.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6062080,0,5570560,0,0,0,0,0,0,0,0,0,0,336,0,0,0,2667175936,759267328,4590280704,4918849536,6299,16936,4,1,7,3.580,2.890,2.120,0,2,3.580,2.890,2.120,2667175936,759267328,4590280704,4918849536,4,1,7,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,2304,103695,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,3668,8594,3385,0,0,0,0,0,4,4.100,0,0,0,0,0
1770765151.830,83.500,16.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8421376,0,7929856,0,0,0,0,0,0,0,0,0,0,336,0,0,0,2692091904,729780224,4594786304,4893749248,5883,10905,5,1,1,3.580,2.890,2.120,0,0,3.580,2.890,2.120,2692091904,729780224,4594786304,4893749248,5,1,1,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,2304,103683,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,736,9600,1239,0,0,0,0,0,7.200,7.600,0,0,0,0,0
1770765152.830,79,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8290304,0,7798784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2687709184,729780224,4599095296,4898045952,6024,11097,3,2,7,3.580,2.890,2.120,0,2,3.580,2.890,2.120,2687709184,729780224,4599095296,4898045952,3,2,7,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,2304,103644,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,2625,3428,3170,0,0,0,0,0,3.700,4,0,0,0,0,0
1770765153.830,83,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7077888,0,6684672,0,0,0,98304,0,0,0,16678912,0,0,0,0,0,0,2696245248,716939264,4603301888,4889124864,5874,14006,3,1,10,3.580,2.890,2.120,0,0,3.580,2.890,2.120,2696245248,716939264,4603301888,4889124864,6,2,10,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,2,0,0,0,325,0,0,0,2304,103633,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,1657,5948,2298,0,0,0,0,0,3,3,0,0.300,0,0.600,0
1770765154.830,30.653,8.040,0,61.307,0,0,0,0,0,0,0,0,0,0,0,0,4521984,0,3899392,0,0,0,0,0,98304,0,1703936,0,0,0,0,0,0,2682437632,728371200,4605595648,4902985728,2834,16317,0,3,11,3.300,2.840,2.110,0,2,3.300,2.840,2.110,2682437632,728371200,4605595648,4902985728,0,3,11,0,0,0,0,0,0,0,0,0,0,0,19,0,8,0,0,0,0,0,2,0,25,0,0,0,2240,103629,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,3300,2931,2531,0,0,0,0,0,1.800,1.800,0,0,0,0,0
1770765155.830,7,10,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149979136,0,0,0,0,0,0,0,0,0,0,2717138944,693624832,4605640704,4868284416,1527,18290,0,3,44,3.300,2.840,2.110,0,0,3.300,2.840,2.110,2717138944,693624832,4605640704,4868284416,0,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,2272,103625,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,5586,11007,11024,0,0,0,0,0,0,0,0,1.100,0,0,0
1770765156.830,1.015,3.046,0,95.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,2708684800,702078976,4605640704,4876742656,1087,3259,0,3,7,3.300,2.840,2.110,0,2,3.300,2.840,2.110,2708684800,702078976,4605640704,4876742656,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2240,103630,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,2156,1589,1578,0,0,0,0,0,0,0,0,0,0,0,0
1770765157.830,2,1,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163840,0,0,0,0,0,0,2708668416,702078976,4605652992,4876746752,487,2649,0,3,1,3.300,2.840,2.110,0,0,3.300,2.840,2.110,2708668416,702078976,4605652992,4876746752,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2240,103619,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,155,216,211,0,0,0,0,0,0,0,0,0,0,0,0
1770765158.830,3.535,4.040,0,92.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,2709155840,701562880,4605681664,4876271616,1199,9776,0,3,16,3.300,2.840,2.110,0,2,3.300,2.840,2.110,2709155840,701562880,4605681664,4876271616,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2272,103630,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,2822,2190,2176,0,0,0,0,0,0,0,0,0,0,0,0
1770765159.830,65.500,19.500,0,15,0,0,0,0,0,0,0,0,0,0,0,0,7274496,0,6782976,0,0,0,393216,0,0,0,2228224,0,0,0,0,0,0,2693210112,712847360,4609617920,4891926528,5209,14866,4,1,72,3.910,2.970,2.160,0,0,3.910,2.970,2.160,2693210112,712847360,4609617920,4891926528,4,1,72,0,0,0,0,0,0,0,0,0,0,0,19,0,12,0,0,0,2,0,0,0,9,0,0,0,3296,104649,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,13306,33350,28080,0,0,0,0,0,7.400,7.500,0,0.400,0,0,0
1770765160.830,83,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12124160,0,11730944,0,0,0,0,0,0,0,98304,0,0,0,0,0,0,2785304576,614035456,4616175616,4799483904,5566,9967,7,1,27,3.910,2.970,2.160,0,2,3.910,2.970,2.160,2785304576,614035456,4616175616,4799483904,7,1,27,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,1,0,0,0,3328,104697,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,6239,27501,12926,0,0,0,0,0,6.300,6.600,0,0,0,0,0
1770765161.830,84.925,15.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16351232,0,15859712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2776965120,613535744,4624826368,4807671808,4509,9798,5,1,2,3.910,2.970,2.160,0,0,3.910,2.970,2.160,2776965120,613535744,4624826368,4807671808,4,1,2,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,3296,104647,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,1263,3896,1433,0,0,0,0,0,12.400,13,0,0,0,0,0
1770765162.831,83.663,16.337,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,14286848,32768,13893632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2751582208,631103488,4632592384,4832743424,4843,7184,6,1,5,3.910,2.970,2.160,0,2,3.910,2.970,2.160,2751582208,631103488,4632592384,4832743424,6,1,5,0,0,0,0,0,0,0,0,0,0,1,12,1,8,0,0,0,0,0,0,0,0,0,0,0,3296,104701,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,1992,8359,5522,0,0,0,0,0,6.300,6.600,0,0,0,0,0
1770765163.830,82.500,17.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17137664,0,16646144,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,2750365696,623198208,4641562624,4833755136,4740,8784,5,1,12,3.910,2.970,2.160,0,0,3.910,2.970,2.160,2750365696,623198208,4641562624,4833755136,4,2,12,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,1,0,0,0,3296,104647,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,2081,5590,3817,0,0,0,0,0,7.200,7.800,0,0,0,0,0
1770765164.830,84.848,15.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13959168,0,13369344,0,0,0,98304,0,0,0,1441792,0,0,0,0,0,0,2752241664,613666816,4649041920,4831522816,4506,10919,5,2,5,4.160,3.040,2.180,0,2,4.160,3.040,2.180,2752241664,613666816,4649041920,4831522816,5,1,5,0,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,2,0,0,0,20,0,0,0,3296,104651,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,1038,2906,1024,0,0,0,0,0,8.700,9,0,0.500,0,0,0
1770765165.830,76.119,23.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144375808,0,143785984,0,0,0,0,0,98304,0,0,0,0,0,0,0,0,2759049216,568774656,4686639104,4824621056,4293,17856,6,1,12,4.160,3.040,2.180,0,0,4.160,3.040,2.180,2759565312,568258560,4686639104,4824104960,20,1,27,0,0,0,0,0,0,0,0,0,0,0,34,0,30,0,0,0,0,0,2,0,0,0,0,0,3264,104653,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,3801,16660,7820,0,0,0,0,0,24.900,29.700,0,0,0,0,0
1770765166.832,77.612,22.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16515072,0,16121856,0,0,0,0,0,0,0,98304,0,0,0,0,0,0,2788052992,536944640,4689326080,4795289600,5318,11941,5,1,38,4.160,3.040,2.180,0,0,4.160,3.040,2.180,2788052992,536944640,4689326080,4795289600,5,1,23,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,1,0,0,0,3264,104657,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,4653,10311,10213,0,0,0,0,0,16.300,16.800,0,0,0,0,0
1770765167.830,78.392,21.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19234816,0,18743296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2785243136,536428544,4692598784,4797624320,4736,10718,4,1,7,4.160,3.040,2.180,0,2,4.160,3.040,2.180,2785243136,536428544,4692598784,4797624320,3,2,7,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,3264,104659,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,2059,2999,2669,0,0,0,0,0,12.600,12.800,0,0,0,0,0
1770765168.830,78.894,21.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16646144,0,16252928,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,2769076224,548950016,4696150016,4813209600,4732,13774,4,1,9,4.160,3.040,2.180,0,0,4.160,3.040,2.180,2769076224,548950016,4696150016,4813209600,4,1,9,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,1,0,0,0,3296,104653,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,1212,2210,1796,0,0,0,0,0,6.500,6.800,0,0,0,0,0
1770765169.830,73.134,26.866,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,12779520,229376,19070976,0,0,8388608,155746304,0,0,0,425984,0,0,0,0,0,0,2786373632,527097856,4700643328,4795154432,4709,17884,5,5,42,4.230,3.070,2.200,0,2,4.230,3.070,2.200,2786254848,527097856,4700762112,4795273216,7,5,42,0,0,0,0,0,0,0,0,0,0,2,12,7,9,0,0,1,26,0,0,0,2,0,0,0,3296,104683,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,7,9722,21271,13497,0,0,0,0,0,12.900,13.100,0,1.300,0,0,0
1770765170.830,76.617,23.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23855104,0,16482304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2799017984,510681088,4704342016,4782264320,5116,12534,2,3,33,4.230,3.070,2.200,0,0,4.230,3.070,2.200,2799017984,510681088,4704342016,4782264320,3,2,33,0,0,0,0,0,0,0,0,0,0,0,21,0,11,0,0,0,0,0,0,0,0,0,0,0,3328,104656,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,4354,11581,19179,0,0,0,0,0,7.100,7.500,0,0,0,0,0
1770765171.833,76.382,23.618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15728640,0,18939904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2763710464,543035392,4707229696,4817133568,4661,14840,5,5,13,4.230,3.070,2.200,0,2,4.230,3.070,2.200,2763710464,543035392,4707229696,4817252352,8,4,13,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,0,0,0,0,3328,104674,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,4926,11220,3749,0,0,0,0,0,12,5.100,0,0,0,0,0
1770765172.830,78.392,21.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16252928,0,12255232,0,0,0,0,0,0,0,98304,0,0,0,0,0,0,2753212416,550817792,4709883904,4827406336,5224,11821,3,2,17,4.230,3.070,2.200,0,0,4.230,3.070,2.200,2753212416,550817792,4709883904,4827406336,4,1,17,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,1,0,0,0,3328,104659,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,2094,8700,16193,0,0,0,0,0,13.900,20.400,0,0,0,0,0
1770765173.830,74.627,25.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13369344,0,147554304,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,2739847168,544628736,4729016320,4840566784,4432,13412,5,3,15,4.230,3.070,2.200,0,2,4.230,3.070,2.200,2739847168,544628736,4729016320,4840566784,5,3,15,0,0,0,0,0,0,0,0,0,0,0,12,0,28,0,0,0,0,0,0,0,1,0,0,0,3296,104670,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,3209,11901,7812,0,0,0,0,0,7.400,9.400,0,0,0,0,0
1770765174.830,26.500,10.500,0,63,0,0,0,0,0,0,0,0,0,0,0,0,145588224,0,12025856,0,0,0,229376,0,0,0,425984,0,0,0,0,0,0,2715426816,550674432,4747833344,4864847872,1716,12359,3,3,4,3.890,3.020,2.190,0,0,3.890,3.020,2.190,2715426816,550674432,4747833344,4864847872,2,3,4,0,0,0,0,0,0,0,0,0,0,0,49,0,43,0,0,0,2,0,0,0,2,0,0,0,2272,103627,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,587,4919,2858,0,0,0,0,0,24.100,26.700,0,0.400,0,0.100,0
1770765175.830,4.545,5.051,0,90.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98304,0,0,0,0,0,0,0,0,2717466624,548622336,4747845632,4862877696,1251,13488,0,3,9,3.890,3.020,2.190,0,2,3.890,3.020,2.190,2717466624,548622336,4747845632,4862877696,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2272,103644,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,2366,1869,1872,0,0,0,0,0,0,0,0,0,0,0,0
1770765176.830,2.500,4.500,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2719784960,546299904,4747849728,4860563456,503,1461,0,3,21,3.890,3.020,2.190,0,0,3.890,3.020,2.190,2719784960,546299904,4747849728,4860563456,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2272,103633,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,1831,1357,1338,0,0,0,0,0,0,0,0,0,0,0,0
1770765177.830,4.523,6.030,0,89.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2757660672,508407808,4747866112,4822675456,1764,4880,0,3,30,3.890,3.020,2.190,0,2,3.890,3.020,2.190,2757660672,508407808,4747866112,4822675456,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304,103657,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,5918,11246,10991,0,0,0,0,0,0,0,0,0,0,0,0
1770765178.830,4.523,3.015,0,92.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131072,0,0,560,0,0,0,2757599232,508407808,4747919360,4822749184,901,6029,0,3,9,3.890,3.020,2.190,0,0,3.890,3.020,2.190,2757599232,508407808,4747919360,4822749184,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2272,103636,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,1000,776,1096,0,0,0,0,0,0,0,0,0,0,0,0
1770765179.830,59.799,18.090,0,22.111,0,0,0,0,0,0,0,0,0,0,0,2293760,19726336,851968,49184768,0,0,524288,98304,131072,0,0,589824,0,0,0,0,0,0,2748850176,512831488,4751720448,4831440896,4644,9257,5,3,11,4.220,3.100,2.220,0,2,4.220,3.100,2.220,2748850176,512831488,4751720448,4831440896,6,3,11,0,0,0,0,0,0,0,0,0,0,8,47,2,19,0,0,12,2,2,0,0,3,0,0,0,3264,104669,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,2,3359,5672,2427,0,0,0,0,0,17.500,7.100,0,0.400,0,0.100,0
1770765180.830,76,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41680896,0,9633792,0,0,0,0,0,0,196608,0,0,0,0,0,0,0,2735742976,521891840,4755603456,4844281856,6825,16266,8,1,69,4.220,3.100,2.220,0,0,4.220,3.100,2.220,2735742976,521891840,4755603456,4844281856,7,1,69,0,0,0,0,0,0,0,0,0,0,0,19,0,7,0,0,0,0,0,0,6,0,0,0,0,3296,104667,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,2,11341,29483,29544,0,0,0,0,0,28.200,39.400,0,0,0,0.100,0
1770765181.830,78.894,21.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11993088,0,11599872,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,2721980416,533553152,4757655552,4857839616,4617,10415,4,2,7,4.220,3.100,2.220,0,2,4.220,3.100,2.220,2721980416,533553152,4757655552,4857839616,5,2,7,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,1,0,0,0,0,0,3296,104673,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,2286,3139,3101,0,0,0,0,0,5,5,0,0,0,0,0
1770765182.830,78.109,21.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15237120,0,14745600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2721595392,531308544,4760231936,4857958400,5107,9582,4,2,2,4.220,3.100,2.220,0,0,4.220,3.100,2.220,2721595392,531308544,4760231936,4857958400,4,2,2,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,3296,104662,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,1017,4258,3780,0,0,0,0,0,6.100,6.300,0,0,0,0,0
1770765183.830,72.864,27.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15237120,0,14745600,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,2732085248,518176768,4762828800,4847112192,4968,14857,4,2,31,4.220,3.100,2.220,0,2,4.220,3.100,2.220,2732085248,518176768,4762828800,4847112192,4,2,31,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,1,0,0,0,3296,104670,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,5716,12154,11824,0,0,0,0,0,7.500,7.900,0,0,0,0,0
1770765184.830,74,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13238272,0,23887872,0,0,0,98304,0,98304,0,524288,0,0,0,0,0,0,2730668032,515776512,4766547968,4848455680,4499,12304,4,1,7,4.280,3.140,2.230,0,0,4.280,3.140,2.230,2730668032,515776512,4766547968,4848455680,3,2,7,0,0,0,0,0,0,0,0,0,0,0,19,0,14,0,0,0,2,0,2,0,3,0,0,0,3296,104664,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,1736,2774,3012,0,0,0,0,0,3.800,4.900,0,0.400,0,0,0
1770765185.830,76.119,23.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27623424,0,15859712,0,0,0,163381248,0,32768,0,0,0,0,0,0,0,0,2710814720,531558400,4770566144,4868075520,4959,15780,4,1,4,4.280,3.140,2.230,0,2,4.280,3.140,2.230,2710814720,531558400,4770566144,4868075520,3,2,4,0,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,56,0,1,0,0,0,0,0,3328,104664,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,781,2228,2231,0,0,0,0,0,12.900,13.100,0,0.600,0,0,0
1770765186.830,71.357,28.643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12386304,0,11993088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2713559040,526565376,4772753408,4865069056,4317,11389,3,2,27,4.280,3.140,2.230,0,0,4.280,3.140,2.230,2713559040,526565376,4772753408,4865069056,4,1,27,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,0,0,3296,104664,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,3445,4147,4615,0,0,0,0,0,6.200,6.300,0,0,0,0,0
1770765187.830,77.500,22.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17530880,0,17039360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2715185152,522207232,4775436288,4863164416,4482,9646,4,1,1,4.280,3.140,2.230,0,2,4.280,3.140,2.230,2715185152,522207232,4775436288,4863164416,4,1,1,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,3296,104664,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,246,2826,1584,0,0,0,0,0,6.500,6.600,0,0,0,0,0
