"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","683ed0e0811e",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260131185156/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","31 Jan 2026 19:02:14 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769886134.996,34.620,13.471,51.833,0.076,0,4331923.338,28370145.395,824487.181,0,0,0,0,0,1610203136,3379724288,3109302272,6098305024,17645.245,62557.364,1,0,5.939,12.820,9.170,7.290,5213.571,4073.521,71.226,0.298,41.439,1.232,78.913,0.009,23.183,0.022,12.820,9.170,7.290,1610203136,3379724288,3109302272,6098305024,1,0,5.939,11.276,22.319,1.433,0,0,1073737728,0,928,45992,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,1.395,1806.626,10881.663,11278.703,0.990,0.032,0,0,0,0,0,0,0,0
1769886135.997,43.621,17.695,38.546,0.137,0,0,57835520,0,0,672,0,0,0,1617657856,3369299968,3112271872,6089101312,52403,129524,8,0,53,12.820,9.170,7.290,41683,4924,73,0,75,0,15,0,67,0,12.820,9.170,7.290,1617657856,3369299968,3112271872,6089101312,4,0,53,0,78,0,0,0,1073737728,0,864,46209,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,20443,10144,10270,1.300,0,0,0,0,0,0,0,0,0
1769886136.997,42.936,19.806,37.258,0,0,0,54132736,0,0,336,0,0,0,1616424960,3368267776,3114536960,6089216000,63229,154265,6,0,0,12.820,9.170,7.290,52748,4869,2,0,19,0,1,0,2,0,12.820,9.170,7.290,1616424960,3368267776,3114536960,6089216000,7,0,0,0,19,0,0,0,1073737728,0,864,46209,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,6915,615,25,0.800,0,0,0,0,0,0,0,0,0
1769886137.997,43.629,18.837,37.396,0.139,0,0,194707456,0,0,336,0,0,0,1617092608,3365199872,3116937216,6087294976,62130,151514,7,0,0,12.280,9.110,7.280,51925,4859,2,0,35,0,1,0,2,0,12.280,9.110,7.280,1617092608,3365199872,3116937216,6087294976,9,0,0,0,56,0,0,0,1073737728,0,864,46209,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3086,4747,4175,2,0,0,0,0,0,0,0,0,0
1769886138.997,44.611,19.100,36.289,0,0,0,58130432,0,0,0,0,0,0,1604173824,3374137344,3120918528,6098178048,60459,146785,7,0,0,12.280,9.110,7.280,49898,4984,2,0,29,0,1,0,2,0,12.280,9.110,7.280,1604173824,3374137344,3120918528,6098178048,7,0,0,0,29,0,0,0,1073737728,0,864,46209,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4414,1009,3726,0.300,0,0,0,0,0,0,0,0,0
1769886139.997,44.521,19.452,35.890,0.137,0,0,190087168,0,0,0,0,0,0,1604636672,3371298816,3123294208,6096461824,60578,149748,8,0,0,12.280,9.110,7.280,50172,5002,2,0,51,0,2,0,2,0,12.280,9.110,7.280,1604636672,3371298816,3123294208,6096461824,8,0,0,0,63,0,0,0,1073737728,0,864,46210,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2721,4705,4132,1.600,0,0,0,0,0,0,0,0,0
1769886140.999,5.838,2.665,91.497,0,0,0,9830400,0,0,0,0,0,0,1606475776,3369201664,3123552256,6094692352,10189,23668,0,0,1,12.280,9.110,7.280,8813,858,25,0,8,0,26,0,4,0,12.280,9.110,7.280,1606475776,3369201664,3123552256,6094692352,0,0,1,0,8,0,0,0,1073737728,0,864,46195,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,447,1731,1582,0.100,0,0,0,0,0,0,0,0,0
1769886141.996,0.251,0.125,99.624,0,0,0,0,0,0,0,0,0,0,1606471680,3369201664,3123556352,6094692352,315,391,0,0,0,12.280,9.110,7.280,152,156,2,0,0,0,2,0,2,0,12.280,9.110,7.280,1606471680,3369201664,3123556352,6094692352,0,0,0,0,0,0,0,0,1073737728,0,864,46195,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,7,29,25,0,0,0,0,0,0,0,0,0,0
1769887041.980,0.132,0.132,99.604,0.132,0,0,59506688,0,0,0,0,0,0,1606463488,3369201664,3123564544,6094737408,1582,2711,0,0,0,11.370,8.980,7.250,376,1131,6,0,46,0,3,0,13,0,11.370,8.980,7.250,1606463488,3369201664,3123564544,6094737408,0,0,0,0,40,0,0,0,1073737728,0,864,46195,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,31,65,26,1.600,0,0,0,0,0,0,0,0,0
1769887041.999,0,0,100,0,0,0,0,0,0,0,0,0,0,1606463488,3369201664,3123564544,6094737408,41,51,0,0,0,11.370,8.980,7.250,25,15,0,0,0,0,1,0,0,0,11.370,8.980,7.250,1606463488,3369201664,3123564544,6094737408,0,0,0,0,0,0,0,0,1073737728,0,864,46195,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,0,24,24,0,0,0,0,0,0,0,0,0,0
1769887043.000,0.125,0.125,99.750,0,0,0,0,0,0,0,0,0,0,1606463488,3369201664,3123564544,6094737408,333,441,0,0,0,11.370,8.980,7.250,190,137,2,0,0,0,1,0,2,0,11.370,8.980,7.250,1606463488,3369201664,3123564544,6094737408,0,0,0,0,0,0,0,0,1073737728,0,864,46191,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,0,24,41,0,0,0,0,0,0,0,0,0,0
1769887043.996,53.836,15.857,29.923,0.384,0,0,89784320,0,0,0,0,0,0,1613320192,3357962240,3127652352,6085488640,22887,50428,14,0,10,11.370,8.980,7.250,3609,5578,12,2,342,0,10,0,6,0,11.370,8.980,7.250,1613320192,3357962240,3127652352,6085488640,14,0,10,0,27,0,0,0,1073737728,0,1824,47215,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,6239,6785,3090,5.700,0,0,0,0,0,0,0,0,0
1769887044.997,74.112,19.924,5.964,0,0,0,133038080,0,0,0,0,0,0,1587290112,3376480256,3135164416,6107312128,29641,72598,13,0,0,11.370,8.980,7.250,3800,7472,4,0,32,0,1,0,2,0,11.370,8.980,7.250,1587290112,3376480256,3135164416,6107312128,13,0,0,0,37,0,0,0,1073737728,0,1824,47215,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,9101,10010,11951,3.100,0,0,0,0,0,0,0,0,0
1769887045.997,75.949,19.114,4.937,0,0,0,252411904,0,0,0,0,0,0,1578143744,3379146752,3141632000,6113902592,26922,65701,19,0,1,11.580,9.060,7.280,3422,7576,6,0,46,0,3,0,2,0,11.580,9.060,7.280,1578143744,3379146752,3141632000,6113902592,16,0,1,0,77,0,0,0,1073737728,0,1824,47216,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,7582,9826,8716,4.900,0,0,0,0,0,0,0,0,0
1769887046.996,75.190,18.987,5.696,0.127,0,0,252182528,0,0,0,0,0,0,1567473664,3384881152,3146514432,6122180608,26165,66022,13,0,0,11.580,9.060,7.280,3801,7517,2,0,42,0,1,0,2,0,11.580,9.060,7.280,1567473664,3384881152,3146514432,6122180608,12,0,0,0,64,0,0,0,1073737728,0,1824,47218,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5695,8609,10996,5.100,0,0,0,0,0,0,0,0,0
1769887047.996,76.142,18.147,5.584,0.127,0,0,235995136,0,0,0,0,0,0,1569271808,3378192384,3151314944,6117957632,24855,61279,15,0,0,11.580,9.060,7.280,3692,7503,4,0,40,0,1,0,2,0,11.580,9.060,7.280,1569271808,3378192384,3151314944,6117957632,15,0,0,0,66,0,0,0,1073737728,0,1824,47219,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5394,8624,8039,5.600,0,0,0,0,0,0,0,0,0
1769887048.996,75.225,17.843,6.932,0,0,0,236519424,0,0,0,0,0,0,1567821824,3375583232,3155312640,6117580800,24408,58805,13,0,0,11.580,9.060,7.280,2976,7327,5,0,56,0,1,0,2,0,11.580,9.060,7.280,1567821824,3375583232,3155312640,6117580800,16,0,0,0,95,0,0,0,1073737728,0,1824,47221,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4832,8178,11322,6.400,0,0,0,0,0,0,0,0,0
1769887049.996,77.118,17.067,5.689,0.126,0,0,92733440,0,0,0,0,0,0,1540083712,3396751360,3161808896,6142050304,24872,62029,15,0,0,11.580,9.060,7.280,3069,7530,2,0,22,0,3,0,2,0,11.580,9.060,7.280,1540083712,3396751360,3161808896,6142050304,14,0,0,0,26,0,0,0,1073737728,0,1824,47221,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,6509,5230,7262,3.700,0,0,0,0,0,0,0,0,0
1769887050.996,78.018,16.391,5.591,0,0,0,226689024,0,0,0,0,0,0,1535205376,3394555904,3168792576,6143647744,23997,61533,14,0,0,11.540,9.100,7.300,2728,7490,2,0,42,0,1,0,2,0,11.540,9.100,7.300,1535205376,3394555904,3168792576,6143647744,15,0,0,0,60,0,0,0,1073737728,0,1824,47222,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,7047,8267,7027,6.200,0,0,0,0,0,0,0,0,0
1769887051.996,77.062,16.495,6.186,0.258,0,0,218726400,0,0,0,0,0,0,1534910464,3390513152,3173056512,6141775872,23109,57103,13,0,0,11.540,9.100,7.300,2589,7329,2,0,35,0,2,0,2,0,11.540,9.100,7.300,1534910464,3390513152,3173056512,6141775872,14,0,0,0,60,0,0,0,1073737728,0,1824,47224,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4719,7676,10188,8.200,0,0,0,0,0,0,0,0,0
